Norte: Pressão=1014hPa, Temperatura=27°C, Umidade=75%
Norte: Pressão=1014hPa, Temperatura=26°C, Umidade=66%
Sul: Pressão=1012hPa, Temperatura=12°C, Umidade=69%
Norte: Pressão=1012hPa, Temperatura=26°C, Umidade=80%
Sul: Pressão=1002hPa, Temperatura=30°C, Umidade=63%
Norte: Pressão=1015hPa, Temperatura=35°C, Umidade=73%
Sul: Pressão=1014hPa, Temperatura=11°C, Umidade=75%
Norte: Pressão=1008hPa, Temperatura=28°C, Umidade=90%
Sul: Pressão=1014hPa, Temperatura=28°C, Umidade=81%
Norte: Pressão=1008hPa, Temperatura=35°C, Umidade=77%
Sul: Pressão=1013hPa, Temperatura=14°C, Umidade=71%
Norte: Pressão=1009hPa, Temperatura=30°C, Umidade=80%
Sul: Pressão=1004hPa, Temperatura=14°C, Umidade=72%
Norte: Pressão=1014hPa, Temperatura=35°C, Umidade=68%
Sul: Pressão=1005hPa, Temperatura=28°C, Umidade=71%
Norte: Pressão=1012hPa, Temperatura=30°C, Umidade=79%
Sul: Pressão=1006hPa, Temperatura=27°C, Umidade=71%
Norte: Pressão=1013hPa, Temperatura=26°C, Umidade=72%
Sul: Pressão=1004hPa, Temperatura=19°C, Umidade=75%
Norte: Pressão=1017hPa, Temperatura=29°C, Umidade=73%
Sul: Pressão=1007hPa, Temperatura=16°C, Umidade=83%
Norte: Pressão=1016hPa, Temperatura=34°C, Umidade=81%
Sul: Pressão=1004hPa, Temperatura=25°C, Umidade=66%
Sul: Pressão=1008hPa, Temperatura=25°C, Umidade=78%
Norte: Pressão=1010hPa, Temperatura=27°C, Umidade=69%
Norte: Pressão=1011hPa, Temperatura=35°C, Umidade=81%
Sul: Pressão=1006hPa, Temperatura=17°C, Umidade=84%
Norte: Pressão=1011hPa, Temperatura=28°C, Umidade=76%
Sul: Pressão=1013hPa, Temperatura=29°C, Umidade=81%
Norte: Pressão=1013hPa, Temperatura=26°C, Umidade=64%
Sul: Pressão=1014hPa, Temperatura=25°C, Umidade=66%
Norte: Pressão=1009hPa, Temperatura=35°C, Umidade=71%
Sul: Pressão=1004hPa, Temperatura=25°C, Umidade=81%
Norte: Pressão=1009hPa, Temperatura=32°C, Umidade=83%
Sul: Pressão=1006hPa, Temperatura=23°C, Umidade=76%
Norte: Pressão=1017hPa, Temperatura=31°C, Umidade=78%
Sul: Pressão=1013hPa, Temperatura=15°C, Umidade=84%
Norte: Pressão=1014hPa, Temperatura=30°C, Umidade=80%
Sul: Pressão=1001hPa, Temperatura=22°C, Umidade=72%
Norte: Pressão=1011hPa, Temperatura=34°C, Umidade=61%
Sul: Pressão=1012hPa, Temperatura=15°C, Umidade=68%
Norte: Pressão=1010hPa, Temperatura=34°C, Umidade=79%
Sul: Pressão=1002hPa, Temperatura=29°C, Umidade=77%
Norte: Pressão=1014hPa, Temperatura=28°C, Umidade=85%
Sul: Pressão=1002hPa, Temperatura=20°C, Umidade=90%
Norte: Pressão=1011hPa, Temperatura=28°C, Umidade=68%
Sul: Pressão=1001hPa, Temperatura=28°C, Umidade=73%
Norte: Pressão=1013hPa, Temperatura=35°C, Umidade=86%
Sul: Pressão=1011hPa, Temperatura=13°C, Umidade=67%
Sul: Pressão=1003hPa, Temperatura=17°C, Umidade=79%
Norte: Pressão=1017hPa, Temperatura=26°C, Umidade=82%
Norte: Pressão=1016hPa, Temperatura=26°C, Umidade=74%
Sul: Pressão=1008hPa, Temperatura=29°C, Umidade=66%
Norte: Pressão=1008hPa, Temperatura=32°C, Umidade=69%
Sul: Pressão=1012hPa, Temperatura=15°C, Umidade=85%
Norte: Pressão=1017hPa, Temperatura=26°C, Umidade=70%
Sul: Pressão=1010hPa, Temperatura=30°C, Umidade=74%
Norte: Pressão=1016hPa, Temperatura=32°C, Umidade=66%
Sul: Pressão=1002hPa, Temperatura=19°C, Umidade=69%
Norte: Pressão=1013hPa, Temperatura=33°C, Umidade=73%
Sul: Pressão=1007hPa, Temperatura=20°C, Umidade=76%
Norte: Pressão=1015hPa, Temperatura=25°C, Umidade=81%
Sul: Pressão=1002hPa, Temperatura=20°C, Umidade=87%
Norte: Pressão=1011hPa, Temperatura=26°C, Umidade=77%
Sul: Pressão=1009hPa, Temperatura=19°C, Umidade=89%
Norte: Pressão=1015hPa, Temperatura=25°C, Umidade=75%
Sul: Pressão=1008hPa, Temperatura=23°C, Umidade=67%
Norte: Pressão=1010hPa, Temperatura=28°C, Umidade=70%
Sul: Pressão=1003hPa, Temperatura=20°C, Umidade=73%
Norte: Pressão=1010hPa, Temperatura=28°C, Umidade=60%
Sul: Pressão=1008hPa, Temperatura=27°C, Umidade=67%
Norte: Pressão=1010hPa, Temperatura=26°C, Umidade=64%
Sul: Pressão=1001hPa, Temperatura=26°C, Umidade=80%
Norte: Pressão=1013hPa, Temperatura=31°C, Umidade=87%
Sul: Pressão=1007hPa, Temperatura=21°C, Umidade=63%
Norte: Pressão=1013hPa, Temperatura=25°C, Umidade=77%
Sul: Pressão=1008hPa, Temperatura=10°C, Umidade=76%
Norte: Pressão=1013hPa, Temperatura=30°C, Umidade=83%
Sul: Pressão=1009hPa, Temperatura=17°C, Umidade=84%
Norte: Pressão=1015hPa, Temperatura=32°C, Umidade=81%
Sul: Pressão=1014hPa, Temperatura=14°C, Umidade=61%
Norte: Pressão=1012hPa, Temperatura=32°C, Umidade=89%
Sul: Pressão=1010hPa, Temperatura=27°C, Umidade=84%
Norte: Pressão=1015hPa, Temperatura=32°C, Umidade=60%
Sul: Pressão=1011hPa, Temperatura=29°C, Umidade=68%
Norte: Pressão=1010hPa, Temperatura=31°C, Umidade=64%
Sul: Pressão=1002hPa, Temperatura=21°C, Umidade=67%
Norte: Pressão=1010hPa, Temperatura=35°C, Umidade=68%
Sul: Pressão=1005hPa, Temperatura=25°C, Umidade=76%
Norte: Pressão=1010hPa, Temperatura=29°C, Umidade=69%
Sul: Pressão=1010hPa, Temperatura=10°C, Umidade=67%
Norte: Pressão=1016hPa, Temperatura=34°C, Umidade=73%
Sul: Pressão=1011hPa, Temperatura=17°C, Umidade=87%
Norte: Pressão=1014hPa, Temperatura=29°C, Umidade=66%
Sul: Pressão=1004hPa, Temperatura=30°C, Umidade=68%
Norte: Pressão=1009hPa, Temperatura=28°C, Umidade=83%
Sul: Pressão=1001hPa, Temperatura=22°C, Umidade=77%
Norte: Pressão=1008hPa, Temperatura=27°C, Umidade=71%
Sul: Pressão=1005hPa, Temperatura=11°C, Umidade=79%
Norte: Pressão=1012hPa, Temperatura=29°C, Umidade=72%
Sul: Pressão=1007hPa, Temperatura=14°C, Umidade=72%
Norte: Pressão=1017hPa, Temperatura=27°C, Umidade=81%
Sul: Pressão=1005hPa, Temperatura=25°C, Umidade=68%
Norte: Pressão=1012hPa, Temperatura=25°C, Umidade=89%
Sul: Pressão=1002hPa, Temperatura=20°C, Umidade=87%
Norte: Pressão=1009hPa, Temperatura=33°C, Umidade=85%
Sul: Pressão=1006hPa, Temperatura=21°C, Umidade=90%
Norte: Pressão=1013hPa, Temperatura=31°C, Umidade=66%
Sul: Pressão=1003hPa, Temperatura=15°C, Umidade=73%
Norte: Pressão=1013hPa, Temperatura=28°C, Umidade=89%
Sul: Pressão=1002hPa, Temperatura=30°C, Umidade=72%
Norte: Pressão=1014hPa, Temperatura=30°C, Umidade=82%
Sul: Pressão=1006hPa, Temperatura=13°C, Umidade=73%
Norte: Pressão=1017hPa, Temperatura=30°C, Umidade=88%
Sul: Pressão=1002hPa, Temperatura=16°C, Umidade=83%
Norte: Pressão=1011hPa, Temperatura=32°C, Umidade=89%
Sul: Pressão=1014hPa, Temperatura=12°C, Umidade=79%
Norte: Pressão=1011hPa, Temperatura=34°C, Umidade=90%
Sul: Pressão=1001hPa, Temperatura=22°C, Umidade=85%
Norte: Pressão=1011hPa, Temperatura=26°C, Umidade=75%
Sul: Pressão=1009hPa, Temperatura=26°C, Umidade=69%
Norte: Pressão=1009hPa, Temperatura=34°C, Umidade=69%
Sul: Pressão=1002hPa, Temperatura=30°C, Umidade=62%
Norte: Pressão=1014hPa, Temperatura=35°C, Umidade=66%
Sul: Pressão=1009hPa, Temperatura=18°C, Umidade=71%
Norte: Pressão=1008hPa, Temperatura=33°C, Umidade=78%
Sul: Pressão=1006hPa, Temperatura=25°C, Umidade=89%
Norte: Pressão=1016hPa, Temperatura=29°C, Umidade=84%
Sul: Pressão=1005hPa, Temperatura=24°C, Umidade=82%
Norte: Pressão=1008hPa, Temperatura=30°C, Umidade=72%
Sul: Pressão=1006hPa, Temperatura=26°C, Umidade=61%
Norte: Pressão=1008hPa, Temperatura=30°C, Umidade=64%
Sul: Pressão=1010hPa, Temperatura=17°C, Umidade=73%
Norte: Pressão=1011hPa, Temperatura=28°C, Umidade=80%
Sul: Pressão=1006hPa, Temperatura=25°C, Umidade=79%
Sul: Pressão=1004hPa, Temperatura=10°C, Umidade=68%
Norte: Pressão=1010hPa, Temperatura=27°C, Umidade=65%
Norte: Pressão=1017hPa, Temperatura=34°C, Umidade=88%
Sul: Pressão=1002hPa, Temperatura=15°C, Umidade=71%
Norte: Pressão=1016hPa, Temperatura=30°C, Umidade=88%
Sul: Pressão=1012hPa, Temperatura=22°C, Umidade=83%
Norte: Pressão=1008hPa, Temperatura=26°C, Umidade=61%
Sul: Pressão=1011hPa, Temperatura=10°C, Umidade=83%
Norte: Pressão=1012hPa, Temperatura=30°C, Umidade=76%
Sul: Pressão=1012hPa, Temperatura=21°C, Umidade=87%
Sul: Pressão=1005hPa, Temperatura=12°C, Umidade=74%
Norte: Pressão=1014hPa, Temperatura=28°C, Umidade=61%
Norte: Pressão=1015hPa, Temperatura=35°C, Umidade=78%
Sul: Pressão=1009hPa, Temperatura=30°C, Umidade=84%
Norte: Pressão=1011hPa, Temperatura=33°C, Umidade=77%
Sul: Pressão=1006hPa, Temperatura=17°C, Umidade=83%
Norte: Pressão=1012hPa, Temperatura=32°C, Umidade=62%
Sul: Pressão=1006hPa, Temperatura=20°C, Umidade=67%
Norte: Pressão=1013hPa, Temperatura=32°C, Umidade=70%
Sul: Pressão=1003hPa, Temperatura=10°C, Umidade=79%
Norte: Pressão=1017hPa, Temperatura=30°C, Umidade=64%
Sul: Pressão=1010hPa, Temperatura=17°C, Umidade=64%
Norte: Pressão=1011hPa, Temperatura=33°C, Umidade=60%
Sul: Pressão=1002hPa, Temperatura=17°C, Umidade=68%
Norte: Pressão=1011hPa, Temperatura=33°C, Umidade=80%
Sul: Pressão=1012hPa, Temperatura=18°C, Umidade=60%
Norte: Pressão=1014hPa, Temperatura=28°C, Umidade=70%
Sul: Pressão=1011hPa, Temperatura=11°C, Umidade=78%
Norte: Pressão=1009hPa, Temperatura=29°C, Umidade=82%
Sul: Pressão=1010hPa, Temperatura=20°C, Umidade=82%
Norte: Pressão=1009hPa, Temperatura=27°C, Umidade=74%
Sul: Pressão=1012hPa, Temperatura=29°C, Umidade=88%
Norte: Pressão=1013hPa, Temperatura=29°C, Umidade=76%
Sul: Pressão=1002hPa, Temperatura=22°C, Umidade=69%
Norte: Pressão=1012hPa, Temperatura=27°C, Umidade=79%
Sul: Pressão=1000hPa, Temperatura=27°C, Umidade=71%
Norte: Pressão=1014hPa, Temperatura=35°C, Umidade=71%
Sul: Pressão=1007hPa, Temperatura=17°C, Umidade=66%
